store_id,timezone_str
8139926242460180000,Asia/Beirut
5415949628544290000,America/Boise
3408529570017050000,America/Denver
9055649751952760000,America/Denver
4428372089193590000,America/Denver
2689959411535120000,America/Denver
8297996490922430000,America/Denver
1050565545391660000,America/Denver
3483930781272060000,America/Denver
1740222068509980000,America/Denver
2859012985063820000,America/Denver
3828361964081880000,America/Denver
5789640881970900000,America/Denver
5723059602183690000,America/Denver
4378293333107160000,America/Denver
8778651700128890000,America/Denver
6666934422919380000,America/Denver
6163165919739150000,America/Denver
2190599106298420000,America/Denver
2225219938220190000,America/Denver
5925159570709350000,America/Denver
8175229951397380000,America/Denver
4292660491880150000,America/Denver
6733800122189750000,America/Denver
7463734423358940000,America/Denver
7622852966095960000,America/Denver
6160914795278190000,America/Denver
338646328301262000,America/Denver
8640972490360190000,America/Denver
9058019541301770000,America/Denver
4381311595575890000,America/Denver
2248905253110980000,America/Denver
7968584600264950000,America/Denver
1655838063357760000,America/Denver
2118894053982560000,America/Denver
8471700099357890000,America/Denver
8372524645314570000,America/Denver
5552924050444990000,America/Denver
6921452823375300000,America/Denver
4529169694434960000,America/Denver
2787020355835450000,America/Denver
8971475435584610000,America/Denver
1236888576653950000,America/Denver
2739250325777580000,America/Denver
3114628966267230000,America/Denver
2958221658060680000,America/Denver
7972619999376640000,America/Denver
7786277334741500000,America/Denver
7263129728113090000,America/Denver
1501752248305320000,America/Denver
7959626024093660000,America/Denver
5670977555241590000,America/Denver
1801116365065970000,America/Denver
5938218521494270000,America/Denver
7506757311218520000,America/Denver
7902319769656480000,America/Denver
5365891606775900000,America/Denver
7731628114272740000,America/Denver
2870952845845040000,America/Denver
4684120169809430000,America/Denver
8910898981588710000,America/Denver
8523889910428060000,America/Denver
8750493480383300000,America/Denver
8783340632782870000,America/Denver
3547443835360580000,America/Denver
8959583929144870000,America/Denver
2974109706633400000,America/Denver
9200325206334390000,America/Denver
7665740608437220000,America/Denver
5447095752406470000,America/Denver
246505907494256000,America/Denver
8803894796084290000,America/Denver
4474327339142900000,America/Denver
1541695097704170000,America/Denver
5168885062800070000,America/Denver
8285346587034740000,America/Denver
5181171500058100000,America/Denver
6575266446222610000,America/Denver
1678415024862240000,America/Denver
9111087628624420000,America/Denver
6204284763418530000,America/Denver
3881760078520800000,America/Denver
7292116609046500000,America/Denver
4652595129999260000,America/Denver
